id,name,venue_type,address,upcoming_events,cover_missing,profile_missing
464,Barderene,Bar,,29,True,True
460,Salamaster,Espacio Cultural,,21,True,True
463,Scd Egana,Espacio Cultural,,20,True,True
289,Sala RBX,Sala de Concierto,,17,True,True
465,Magbar,Bar,,10,True,True
471,Teatromunicipaldelaflorida,Teatro,,9,True,True
102,Centro Arte Alameda,Centro Cultural,,8,True,False
250,Discoteca La Fama,Espacio Cultural,,8,True,True
286,Epicentro,Espacio Cultural,,7,True,True
262,Rustiko Huehuraba,Sala de Concierto,,7,True,True
445,"Sala Julieta, Teatro Aleph Chile",Espacio Cultural,"Eulogio Altamirano,  La Cisterna",7,True,True
418,Teatro Azares,Teatro,"Huérfanos, 2146 Santiago",7,True,True
239,CorpArtes - Las Condes,Espacio Cultural,"Rosario Norte, 660 Las Condes",6,True,True
429,Detuch,Teatro,"Morandé, 750 Santiago",6,True,True
313,Distrito 04,Comedia,,6,True,True
336,Happy People teatro restaurant,Espacio Cultural,"Rancagua,  Providencia",6,True,True
457,Aulamagnausach,Cine,,5,True,True
347,Kross Bar,Sala de Concierto,,5,True,True
472,Mesonnerudiano,Espacio Cultural,,5,True,True
433,Ruta 78,Espacio Cultural,"Independencia,  Puente Alto",5,True,True
461,12Lunas,Museo,,4,True,True
455,Bandera1001,Espacio Cultural,,4,True,True
354,Bar de Rene,Bar,,4,True,True
281,Centro Cultural CA660 de la Fundación CorpArtes,Espacio Cultural,"Rosario Norte,  Las Condes",4,True,True
384,Centro De Artes Aereas,Espacio Cultural,,4,True,True
412,El Colorado Centro de Ski,Bar,,4,True,True
459,Lapuertaamarilla,Bar,,4,True,True
451,"Aula Magna Biblioteca, Universidad de los Andes",Teatro,"Monseñor Álvaro del Portillo, 12455 Las Condes",3,True,True
242,Bar Oxido,Espacio Cultural,,3,True,True
360,Casa irarrazaval,Espacio Cultural,,3,True,True
458,Lacasaenelaire,Bar,,3,True,True
456,Plazavictoria,Espacio Cultural,,3,True,True
462,Salarbx,Sala de Concierto,,3,True,True
318,TPM Bar,Comedia,,3,True,True
381,Agatha Bar,Bar,,2,True,True
277,Basel Venue-Mall Barrio Independencia,Espacio Cultural,,2,True,True
396,Bongo club San Bernardo,Sala de Concierto,"América,  San Bernardo",2,True,True
330,Bosque Luz,Espacio Cultural,,2,True,True
367,California Cantina,Espacio Cultural,,2,True,True
359,Cementerio General,Espacio Cultural,,2,True,True
404,Centro De Eventos Manhattan,Espacio Cultural,,2,True,True
394,Club Berlín,Bar,,2,True,True
364,Escuela Teatro Imagen,Espacio Cultural,,2,True,True
365,Espacio El Chancho Con Chaleco,Sala de Concierto,,2,True,True
326,Estudio oculto,Espacio Cultural,,2,True,True
